Employee_ID,First_Name,Last_Name,Department,Hire_Date,Salary,Hourly_Pay
1,Jessica,Taylor,IT,2019-09-08,71554,34.40
2,Sally,Duran,Operations,2019-11-09,75737,36.41
3,Thomas,Gentry,Management,2018-06-18,79444,38.19
4,Richard,Johnson,Sales,2017-12-04,52863,25.41
5,Grace,David,Sales,2025-07-25,51486,24.75
6,George,Munoz,Finance,2023-11-23,106233,51.07
7,Alec,Joseph,Management,2021-12-20,119843,57.62
8,Tara,Murillo,Management,2020-11-28,85741,41.22
9,Eugene,Thomas,HR,2019-05-31,49010,23.56
10,Andrew,Pollard,IT,2020-09-06,84002,40.39
11,Steven,Johnson,Marketing,2017-02-12,115478,55.52
12,Jacqueline,Forbes,Support,2019-09-26,104258,50.12
13,William,Terrell,Support,2022-07-08,88677,42.63
14,Jason,Harper,Operations,2017-08-08,74637,35.88
15,Laura,Bradshaw,HR,2021-01-25,116604,56.06
16,Christopher,Villa,Management,2021-04-07,78556,37.77
17,April,Dorsey,Marketing,2025-09-05,107819,51.84
18,Gina,Owen,Finance,2021-06-22,118089,56.77
19,Michael,Cardenas,HR,2016-11-07,53173,25.56
20,Kenneth,Friedman,Sales,2022-07-18,60662,29.16
21,Melissa,Smith,Finance,2019-09-23,90250,43.39
22,Andrew,Adams,Operations,2023-05-04,97840,47.04
23,Debbie,Deleon,HR,2022-12-21,81399,39.13
24,Shannon,Garcia,Finance,2020-07-28,55348,26.61
25,Kyle,Ortiz,Sales,2021-06-01,30831,14.82
26,Jay,Perry,Marketing,2024-05-13,44435,21.36
27,Jodi,Mills,Support,2022-12-29,31434,15.11
28,Victoria,Ward,Sales,2023-04-19,49519,23.81
29,Justin,Smith,Sales,2024-07-10,118163,56.81
30,Robert,Jones,Management,2025-07-30,33490,16.10
31,Randall,Scott,IT,2016-12-06,90666,43.59
32,Charles,Trevino,HR,2025-02-09,64911,31.21
33,Manuel,Hanson,Support,2021-11-10,88463,42.53
